0,1,2,3,4,5,6,7,8,9,10
sausage,meat spreads,domestic eggs,,,,,,,,
hard cheese,waffles,,,,,,,,,
soda,rolls/buns,napkins,salt,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
sausage,pork,soda,salt,,,,,,,
newspapers,roll products ,,,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
newspapers,whole milk,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
waffles,flour,,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
whipped/sour cream,flour,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
butter,margarine,,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
misc. beverages,liquor (appetizer),,,,,,,,,
whole milk,herbs,rolls/buns,cake bar,,,,,,,
frankfurter,margarine,,,,,,,,,
rolls/buns,soda,soda,flower (seeds),,,,,,,
berries,pip fruit,pastry,,,,,,,,
chicken,onions,,,,,,,,,
whole milk,chocolate,,,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
whole milk,long life bakery product,,,,,,,,,
newspapers,dishes,,,,,,,,,
other vegetables,herbs,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
bottled beer,long life bakery product,vinegar,pot plants,,,,,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
sausage,other vegetables,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
specialty bar,candy,margarine,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
sliced cheese,cat food,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
pork,herbs,,,,,,,,,
ice cream,meat spreads,,,,,,,,,
pork,yogurt,margarine,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
soda,beverages,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
grapes,misc. beverages,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
soda,bottled beer,,,,,,,,,
brown bread,margarine,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
canned beer,citrus fruit,,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
pork,canned beer,,,,,,,,,
mustard,root vegetables,,,,,,,,,
yogurt,misc. beverages,,,,,,,,,
long life bakery product,rum,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
hamburger meat,tidbits,,,,,,,,,
root vegetables,coffee,sliced cheese,newspapers,,,,,,,
dessert,pickled vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
shopping bags,napkins,,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
pastry,coffee,,,,,,,,,
bottled water,fruit/vegetable juice,cat food,,,,,,,,
pork,rolls/buns,,,,,,,,,
tropical fruit,pork,cream cheese ,UHT-milk,butter milk,,,,,,
seasonal products,whole milk,soda,,,,,,,,
beef,female sanitary products,,,,,,,,,
dish cleaner,fruit/vegetable juice,,,,,,,,,
beef,canned beer,,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
cookware,cream cheese ,,,,,,,,,
sliced cheese,domestic eggs,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
butter milk,bottled water,shopping bags,,,,,,,,
whole milk,waffles,soft cheese,domestic eggs,dish cleaner,bathroom cleaner,,,,,
hamburger meat,condensed milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
coffee,soda,,,,,,,,,
bags,yogurt,soda,,,,,,,,
coffee,shopping bags,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
whole milk,white bread,,,,,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
bottled water,bottled water,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
ham,hamburger meat,whole milk,margarine,,,,,,,
sausage,tea,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
sausage,curd,bottled water,frozen meals,,,,,,,
berries,brown bread,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
citrus fruit,coffee,,,,,,,,,
cake bar,butter milk,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
dessert,mayonnaise,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
cling film/bags,fruit/vegetable juice,,,,,,,,,
canned beer,root vegetables,soda,,,,,,,,
other vegetables,cereals,,,,,,,,,
tropical fruit,pastry,cream cheese ,,,,,,,,
ham,whole milk,,,,,,,,,
other vegetables,sausage,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
beverages,waffles,,,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
other vegetables,candy,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
beef,cat food,,,,,,,,,
whipped/sour cream,berries,cream cheese ,,,,,,,,
whole milk,dog food,,,,,,,,,
citrus fruit,bottled beer,ice cream,,,,,,,,
beef,soda,white wine,soft cheese,,,,,,,
pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
bottled water,hygiene articles,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
shopping bags,soda,,,,,,,,,
chicken,salty snack,,,,,,,,,
sugar,kitchen towels,,,,,,,,,
UHT-milk,yogurt,,,,,,,,,
whole milk,root vegetables,rolls/buns,yogurt,onions,coffee,napkins,UHT-milk,,,
coffee,pip fruit,,,,,,,,,
other vegetables,waffles,,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
sausage,detergent,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,frozen meals,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
dessert,hamburger meat,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
canned beer,chocolate,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
root vegetables,white bread,pasta,bottled beer,,,,,,,
sausage,yogurt,,,,,,,,,
candy,frozen meals,,,,,,,,,
yogurt,soda,,,,,,,,,
canned fish,yogurt,,,,,,,,,
instant coffee,yogurt,other vegetables,,,,,,,,
root vegetables,grapes,brandy,pickled vegetables,pastry,,,,,,
photo/film,soda,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
soda,fruit/vegetable juice,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
UHT-milk,cling film/bags,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
pastry,baking powder,,,,,,,,,
canned beer,canned beer,,,,,,,,,
fruit/vegetable juice,butter,brown bread,dental care,,,,,,,
berries,frozen vegetables,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
frankfurter,soups,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,pip fruit,sugar,brown bread,,,,,,,
soda,root vegetables,,,,,,,,,
whole milk,white bread,,,,,,,,,
yogurt,potato products,,,,,,,,,
curd,other vegetables,shopping bags,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
citrus fruit,soda,shopping bags,,,,,,,,
curd,other vegetables,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
beef,dessert,,,,,,,,,
margarine,napkins,,,,,,,,,
soda,napkins,,,,,,,,,
frozen meals,mustard,,,,,,,,,
cream cheese ,shopping bags,shopping bags,,,,,,,,
pet care,spread cheese,,,,,,,,,
soda,flour,brown bread,,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
domestic eggs,ham,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
frankfurter,specialty chocolate,,,,,,,,,
rolls/buns,soda,,,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
pastry,domestic eggs,bottled water,,,,,,,,
sausage,soda,other vegetables,,,,,,,,
sausage,tropical fruit,curd,,,,,,,,
cereals,frozen vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
long life bakery product,rolls/buns,UHT-milk,bottled water,,,,,,,
whole milk,yogurt,newspapers,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
specialty chocolate,specialty cheese,,,,,,,,,
curd,other vegetables,,,,,,,,,
chicken,pastry,,,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
sugar,red/blush wine,,,,,,,,,
meat,curd,,,,,,,,,
packaged fruit/vegetables,cat food,dental care,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
soda,pastry,rolls/buns,,,,,,,,
beef,chocolate,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
beef,ham,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
chewing gum,newspapers,newspapers,,,,,,,,
whole milk,pip fruit,,,,,,,,,
meat,pork,butter milk,cat food,,,,,,,
soda,waffles,,,,,,,,,
whole milk,whole milk,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
pastry,sauces,,,,,,,,,
soda,other vegetables,,,,,,,,,
dessert,bottled water,,,,,,,,,
whole milk,white wine,UHT-milk,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
pork,beverages,frozen fish,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
soda,bottled water,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
sausage,soda,candy,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
oil,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
soda,tropical fruit,,,,,,,,,
sausage,butter,,,,,,,,,
turkey,rolls/buns,,,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
hamburger meat,soda,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
cereals,soda,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
candy,candy,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
root vegetables,soda,,,,,,,,,
pot plants,frozen dessert,,,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
rolls/buns,white wine,,,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
berries,soda,bottled beer,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
soda,chocolate marshmallow,fruit/vegetable juice,,,,,,,,
butter,bottled water,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
ham,yogurt,,,,,,,,,
beef,chocolate,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
tropical fruit,candy,,,,,,,,,
chocolate,cat food,,,,,,,,,
red/blush wine,pip fruit,,,,,,,,,
coffee,softener,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
pastry,white bread,,,,,,,,,
berries,yogurt,,,,,,,,,
root vegetables,root vegetables,frozen vegetables,,,,,,,,
yogurt,shopping bags,,,,,,,,,
candy,cake bar,,,,,,,,,
herbs,domestic eggs,,,,,,,,,
whole milk,onions,,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
rolls/buns,other vegetables,soda,chocolate,,,,,,,
napkins,other vegetables,,,,,,,,,
bottled water,curd,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
sausage,pasta,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
ice cream,newspapers,,,,,,,,,
root vegetables,coffee,shopping bags,specialty bar,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
chicken,cat food,,,,,,,,,
meat,nuts/prunes,,,,,,,,,
frozen fruits,citrus fruit,,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
other vegetables,dishes,,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
soda,dessert,shopping bags,,,,,,,,
pip fruit,rum,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
canned beer,cake bar,,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
whole milk,detergent,yogurt,fruit/vegetable juice,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
other vegetables,whole milk,soda,oil,pastry,fruit/vegetable juice,newspapers,,,,
whole milk,yogurt,softener,,,,,,,,
beef,misc. beverages,,,,,,,,,
sweet spreads,berries,whole milk,yogurt,pip fruit,root vegetables,root vegetables,specialty chocolate,softener,,
sausage,other vegetables,,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
whole milk,ice cream,,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
oil,sparkling wine,,,,,,,,,
bottled water,napkins,pastry,,,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
flour,seasonal products,,,,,,,,,
soda,pastry,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
turkey,bottled water,,,,,,,,,
other vegetables,whole milk,root vegetables,domestic eggs,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
whole milk,ice cream,,,,,,,,,
pip fruit,soda,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
citrus fruit,soda,,,,,,,,,
sausage,dish cleaner,,,,,,,,,
chicken,salty snack,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
pork,chewing gum,canned fish,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
sausage,soda,cream cheese ,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
beef,misc. beverages,,,,,,,,,
chicken,shopping bags,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
fish,chocolate,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
canned beer,whole milk,frozen vegetables,cream cheese ,spread cheese,,,,,,
pet care,other vegetables,,,,,,,,,
newspapers,canned beer,,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
meat,other vegetables,,,,,,,,,
frozen vegetables,sugar,,,,,,,,,
tropical fruit,instant coffee,yogurt,salty snack,,,,,,,
candy,frozen meals,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,margarine,,,,,,,,,
root vegetables,soda,,,,,,,,,
spread cheese,brown bread,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
butter,cat food,roll products ,,,,,,,,
finished products,liquor,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
spices,shopping bags,soda,newspapers,,,,,,,
onions,grapes,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
pastry,meat spreads,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
sausage,shopping bags,,,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
soda,other vegetables,,,,,,,,,
sliced cheese,rolls/buns,rolls/buns,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
yogurt,roll products ,,,,,,,,,
beef,beef,,,,,,,,,
white bread,canned fish,,,,,,,,,
citrus fruit,candy,,,,,,,,,
canned beer,bottled water,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
grapes,detergent,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
shopping bags,salty snack,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
condensed milk,whole milk,other vegetables,soups,,,,,,,
other vegetables,dessert,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
butter,whipped/sour cream,rolls/buns,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
potato products,other vegetables,,,,,,,,,
domestic eggs,other vegetables,soda,,,,,,,,
root vegetables,soda,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
meat,whole milk,,,,,,,,,
shopping bags,newspapers,curd,hard cheese,,,,,,,
rolls/buns,beef,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
other vegetables,butter,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
pip fruit,curd,canned beer,pork,bottled beer,frozen dessert,dessert,bottled water,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
sugar,other vegetables,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
curd,domestic eggs,,,,,,,,,
semi-finished bread,berries,,,,,,,,,
soda,red/blush wine,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
berries,condensed milk,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
house keeping products,newspapers,,,,,,,,,
frankfurter,pip fruit,whipped/sour cream,,,,,,,,
coffee,rolls/buns,vinegar,,,,,,,,
chicken,root vegetables,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
pork,yogurt,,,,,,,,,
other vegetables,shopping bags,salty snack,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
other vegetables,salty snack,,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
seasonal products,pot plants,whole milk,dental care,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
salty snack,whole milk,,,,,,,,,
frozen fish,sausage,chocolate,rolls/buns,,,,,,,
sausage,whole milk,pastry,rolls/buns,coffee,bottled beer,chocolate,rolls/buns,,,
ice cream,rolls/buns,bottled beer,canned beer,,,,,,,
baking powder,bottled water,,,,,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
flower (seeds),shopping bags,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
rolls/buns,yogurt,,,,,,,,,
bottled beer,Instant food products,,,,,,,,,
onions,root vegetables,,,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
frozen fish,whole milk,tropical fruit,butter,coffee,,,,,,
root vegetables,bottled beer,bottled water,,,,,,,,
sausage,liquor,,,,,,,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
berries,white bread,,,,,,,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
beef,whole milk,canned vegetables,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
pip fruit,dessert,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
canned beer,other vegetables,margarine,,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
misc. beverages,coffee,,,,,,,,,
turkey,meat,rolls/buns,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,pork,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
ham,other vegetables,,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
beef,newspapers,,,,,,,,,
tropical fruit,salt,,,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
sausage,butter,,,,,,,,,
hamburger meat,pork,,,,,,,,,
soda,candy,,,,,,,,,
bottled water,hard cheese,,,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
other vegetables,waffles,butter,,,,,,,,
pasta,oil,,,,,,,,,
yogurt,bottled beer,rolls/buns,yogurt,sugar,,,,,,
rolls/buns,yogurt,,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,,
bottled beer,root vegetables,pip fruit,other vegetables,dessert,rolls/buns,shopping bags,,,,
hamburger meat,cookware,pastry,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
pastry,other vegetables,,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
waffles,whole milk,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
misc. beverages,long life bakery product,,,,,,,,,
curd,sugar,,,,,,,,,
salty snack,whole milk,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
meat,curd,,,,,,,,,
coffee,long life bakery product,,,,,,,,,
whole milk,newspapers,,,,,,,,,
curd,soda,,,,,,,,,
frozen dessert,specialty chocolate,,,,,,,,,
beverages,beverages,hamburger meat,frankfurter,soda,root vegetables,butter,cream cheese ,butter,,
pip fruit,nut snack,napkins,,,,,,,,
organic sausage,rolls/buns,,,,,,,,,
sugar,shopping bags,,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frozen dessert,bottled water,,,,,,,,,
hygiene articles,chocolate,soups,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
beef,ham,,,,,,,,,
detergent,salty snack,,,,,,,,,
liver loaf,chicken,whole milk,canned beer,fruit/vegetable juice,frozen dessert,light bulbs,condensed milk,,,
pip fruit,rolls/buns,whole milk,,,,,,,,
dessert,jam,,,,,,,,,
tropical fruit,curd,,,,,,,,,
grapes,whipped/sour cream,soda,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
root vegetables,hard cheese,margarine,yogurt,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
rolls/buns,whipped/sour cream,dishes,,,,,,,,
yogurt,UHT-milk,dessert,frozen dessert,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
citrus fruit,waffles,female sanitary products,,,,,,,,
pip fruit,bottled water,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
pastry,hygiene articles,,,,,,,,,
misc. beverages,waffles,,,,,,,,,
meat,whole milk,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
specialty bar,bottled beer,,,,,,,,,
rolls/buns,soda,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
pip fruit,spread cheese,,,,,,,,,
hamburger meat,pork,yogurt,flour,,,,,,,
meat,chicken,yogurt,pip fruit,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
tropical fruit,curd,whole milk,other vegetables,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
rolls/buns,liquor,curd,other vegetables,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
meat,domestic eggs,,,,,,,,,
hygiene articles,frozen dessert,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
canned beer,brown bread,,,,,,,,,
long life bakery product,zwieback,,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
bottled water,chocolate,,,,,,,,,
beef,rolls/buns,,,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
root vegetables,specialty chocolate,frozen vegetables,canned beer,frozen fish,,,,,,
whole milk,pastry,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
whole milk,brown bread,soda,,,,,,,,
whole milk,sauces,,,,,,,,,
sausage,curd,,,,,,,,,
yogurt,chocolate,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
pork,bottled water,,,,,,,,,
onions,ice cream,soda,sliced cheese,,,,,,,
sparkling wine,cream cheese ,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
beef,roll products ,root vegetables,chicken,waffles,male cosmetics,grapes,brown bread,,,
tropical fruit,napkins,long life bakery product,,,,,,,,
meat,chocolate,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
soft cheese,cat food,,,,,,,,,
soda,coffee,cling film/bags,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
